Movie Name,Release Date,Verdict,Adjusted Net Gross,Genre,Runtime,Ratings,Budget,Production Banner,Actors,Director
Laadla,1994-03-25,Hit,1262519760.0,Masala,165 min,45.00% (2 Ratings),32500000.0,Neha Arts,"['Anil Kapoor', 'Sridevi', 'Raveena Tandon', 'Farida Jalal']",Raj Kanwar
Kachche Dhaage,1999-02-19,Hit,1259346150.0,Action,142 min,55.71% (7 Ratings),100000000.0,Tips Industries Pvt. Ltd.,"['Ajay Devgn', 'Saif Ali Khan', 'Manisha Koirala', 'Namrata Shirodkar']",Milan Luthria
Deewana Mastana,1997-10-10,Hit,1162118280.0,Comedy,139 min,86.67% (3 Ratings),70000000.0,M.K.D. Films,"['Anil Kapoor', 'Govinda', 'Juhi Chawla', 'Johny Lever']",David Dhawan
Sabse Bada Khiladi,1995-06-09,Hit,1144134490.0,Action,166 min,81.25% (4 Ratings),40000000.0,DMS Films Pvt. Ltd.,"['Akshay Kumar', 'Mamta Kulkarni', 'Mohnish Bahl', 'Gulshan Grover']",Umesh Mehra
Dulhe Raja,1998-07-10,Hit,1139903010.0,Comedy,149 min,73.75% (4 Ratings),50000000.0,Eastern Films,"['Govinda', 'Raveena Tandon', 'Kader Khan', 'Prem Chopra']",Harmesh Malhotra
Jaan,1996-05-17,Hit,1101435010.0,Action,168 min,80.00% (5 Ratings),47500000.0,Suneha Arts,"['Ajay Devgn', 'Twinkle Khanna', 'Amrish Puri', 'Vivek Mushran']",Raj Kanwar
Haseena Maan Jayegi,1999-06-25,Hit,1092202690.0,Comedy,147 min,45.00% (4 Ratings),90000000.0,Rahul Productions,"['Sanjay Dutt', 'Govinda', 'Karisma Kapoor', 'Pooja Batra']",David Dhawan
Satya,1998-07-03,Hit,1078738890.0,Drama,167 min,72.50% (4 Ratings),25000000.0,Ram Gopal Varma Productions,"['J.D. Chakravarthi', 'Urmila Matondkar', 'Paresh Rawal', 'Manoj Bajpai']",Ram Gopal Verma
Main Khiladi Tu Anari,1994-09-23,Hit,1066717640.0,Masala,180 min,65.00% (4 Ratings),32500000.0,United Seven Entertainment Ltd.,"['Akshay Kumar', 'Saif Ali Khan', 'Shilpa Shetty', 'Raageshwari']",Sameer Malkan
Ghulam,1998-06-19,Hit,1054407880.0,Drama,156 min,55.28% (18 Ratings),72500000.0,Vishesh Films Pvt. Ltd.,"['Aamir Khan', 'Rani Mukherjee', 'Rajit Kapoor', 'Mita Vashisht']",Vikram Bhatt
Bandhan,1998-10-02,Hit,1035173880.0,Drama,156 min,63.25% (20 Ratings),57500000.0,Siddhi Vinayak Creations,"['Jackie Shroff', 'Salman Khan', 'Rambha', 'Ashwini Bhave']",K. Murali Mohana Rao
Virasat,1997-05-30,Hit,1013535630.0,Drama,161 min,65.00% (4 Ratings),45000000.0,M.R. Productions,"['Anil Kapoor', 'Tabu', 'Pooja Batra', 'Amrish Puri']",Priyadarshan
Ram Jaane,1995-12-01,Hit,975836990.0,Action,157 min,41.59% (110 Ratings),37500000.0,Eagle Films Pvt. Ltd.,"['Shahrukh Khan', 'Juhi Chawla', 'Vivek Mushran', 'Pankaj Kapoor']",Rajiv Mehra
Vijaypath,1994-08-05,Hit,972855720.0,Action,160 min,31.67% (3 Ratings),27500000.0,Time Magnetics Pvt. Ltd.,"['Ajay Devgn', 'Tabu', 'Suresh Oberoi', 'Gulshan Grover']",Faroogh Siddiqui
Yes Boss,1997-07-18,Hit,958911070.0,Drama,158 min,54.26% (162 Ratings),50000000.0,United Seven Entertainment Ltd.,"['Aditya Pancholi', 'Shahrukh Khan', 'Juhi Chawla', 'Gulshan Grover']",Aziz Mirza
Suhaag,1994-11-04,Hit,935830270.0,Masala,158 min,60.83% (6 Ratings),30000000.0,Shweta International,"['Ajay Devgn', 'Akshay Kumar', 'Karisma Kapoor', 'Nagma']",Kuku Kohli
Daag - The Fire,1999-02-12,Hit,920731580.0,Action,166 min,56.67% (3 Ratings),67500000.0,Inderjit Films Combine,"['Sanjay Dutt', 'Chandrachur Singh', 'Mahima Chaudhary', 'Raj Babbar']",Raj Kanwar
Elaan,1994-01-21,Hit,877743590.0,Action,140 min,55.00% (4 Ratings),18500000.0,Tridev Arts,"['Akshay Kumar', 'Amrish Puri', 'Madhoo', 'Farida Jalal']",Guddu Dhanoa
Yeh Dillagi,1994-05-06,Hit,831774330.0,Love Story,148 min,45.00% (3 Ratings),20000000.0,Aditya Films,"['Akshay Kumar', 'Kajol', 'Saif Ali Khan', 'Saeed Jaffrey']",Naresh Malhotra
Chachi 420,1997-12-19,Hit,792056120.0,Comedy,162 min,62.50% (4 Ratings),45000000.0,Raajkamal Films International,"['Kamal Hassan', 'Amrish Puri', 'Om Puri', 'Tabu']",Kamal Hassan
Tere Mere Sapne,1996-12-06,Hit,664727040.0,Rom - Com,146 min,51.00% (5 Ratings),30000000.0,AB Corp Ltd.,"['Chandrachur Singh', 'Arshad Warsi', 'Priya Gill', 'Simran']",Joy Augustine
Ravan Raaj,1995-06-23,Hit,655110040.0,Action,149 min,100.00% (2 Ratings),25000000.0,Maa Sherawali Productions,"['Mithun Chakraborty', 'Madhoo', 'Aditya Pancholi', 'Harish']",T. Rama Rao
